p1	p2	n	r	p.value
protein160	protein174	18	0.158084659019867	0.901
protein162	protein174	18	0.366191148377035	0.501
protein163	protein174	17	0.31530805239816	0.608
protein164	protein174	18	0.334235237254491	0.573
protein165	protein174	18	0.280215591412472	0.678
protein166	protein174	18	0.332920195443834	0.576
protein167	protein174	17	-0.0394662179537888	0.996
protein168	protein174	17	0.194405085460547	0.854
protein16	protein174	17	0.47108402759362	0.268
protein170	protein174	18	0.297046118292256	0.642
protein171	protein174	17	-0.0805205131913345	0.999
protein173	protein174	17	0.101403221634672	0.95
protein100	protein175	17	-0.121951434935364	1
protein101	protein175	17	0.912337025817694	0
protein102	protein175	17	0.910030609421394	0
protein103	protein175	17	0.800093778804141	0
protein106	protein175	17	0.596623469444732	0.05
protein10	protein175	17	0.936709465716103	0
protein110	protein175	17	0.970352495450205	0
protein111	protein175	17	0.58918850005982	0.056
protein112	protein175	17	0.322405133169649	0.597
protein113	protein175	17	0.581094309278763	0.069
protein115	protein175	17	0.983688364474674	0
protein116	protein175	17	0.967485018284667	0
protein11	protein175	17	0.432320690820134	0.357
protein121	protein175	17	-0.0499126203598666	0.996
protein123	protein175	17	0.507034931662562	0.191
protein124	protein175	17	0.723139688005354	0.004
protein125	protein175	17	0.86918815124117	0
protein127	protein175	17	0.968686688124047	0
protein12	protein175	17	0.472563768455291	0.265
protein131	protein175	17	0.18917627215217	0.865
protein132	protein175	17	0.98264991316619	0
protein135	protein175	17	0.14808183020276	0.908
protein136	protein175	17	0.149174031111114	0.907
protein138	protein175	17	0.882494987300337	0
protein139	protein175	17	0.679057935307389	0.008
protein13	protein175	17	0.936214253245389	0
protein140	protein175	17	0.623927475077758	0.034
protein141	protein175	17	0.620463136076883	0.035
protein145	protein175	17	0.4815637267631	0.244
protein14	protein175	17	0.231184825701368	0.784
protein157	protein175	17	-0.0355922800637821	0.996
protein159	protein175	17	0.163284235122984	0.897
protein15	protein175	17	0.415598928771714	0.389
protein160	protein175	17	0.0631385503687725	0.969
protein162	protein175	17	0.9405038567291	0
protein163	protein175	17	0.806793823275991	0
protein164	protein175	17	0.946970012030783	0
protein165	protein175	17	0.935787283279677	0
protein166	protein175	17	0.937975026046838	0
protein167	protein175	17	0.0613442419441164	0.97
protein16	protein175	17	0.912086844953387	0
protein170	protein175	17	0.910066598774172	0
protein174	protein175	17	0.438399505277018	0.346
protein100	protein176	17	-0.123637863822219	1
protein101	protein176	17	0.911991665720077	0
protein102	protein176	17	0.90955494833898	0
protein103	protein176	17	0.800934484626023	0
protein106	protein176	17	0.59605506105964	0.05
protein10	protein176	17	0.935834056935539	0
protein110	protein176	17	0.970175919997144	0
protein111	protein176	17	0.58940109134538	0.055
protein112	protein176	17	0.322328602782525	0.597
protein113	protein176	17	0.581614954598956	0.069
protein115	protein176	17	0.983832266051676	0
protein116	protein176	17	0.966990055812448	0
protein11	protein176	17	0.430040253015802	0.362
protein121	protein176	17	-0.051197444112043	0.996
protein123	protein176	17	0.505544036125675	0.194
protein124	protein176	17	0.72207620277846	0.004
protein125	protein176	17	0.869099630166897	0
protein127	protein176	17	0.96775495645786	0
protein12	protein176	17	0.469311680075807	0.273
protein131	protein176	17	0.187888651066935	0.868
protein132	protein176	17	0.982232992138567	0
protein135	protein176	17	0.146010102154817	0.91
protein136	protein176	17	0.14800799367319	0.909
protein138	protein176	17	0.881498032111071	0
protein139	protein176	17	0.678367760736613	0.008
protein13	protein176	17	0.937222156690824	0
protein140	protein176	17	0.622841543030857	0.035
protein141	protein176	17	0.619594166488052	0.035
protein145	protein176	17	0.479796338875436	0.247
protein14	protein176	17	0.230839154553281	0.784
protein157	protein176	17	-0.0371443455823996	0.996
protein159	protein176	17	0.162733848375469	0.897
protein15	protein176	17	0.414236265797733	0.393
protein160	protein176	17	0.0602081292568949	0.97
protein162	protein176	17	0.940520458936658	0
protein163	protein176	17	0.80557333948948	0
protein164	protein176	17	0.947101859922401	0
protein165	protein176	17	0.93577491562132	0
protein166	protein176	17	0.937978506516563	0
protein167	protein176	17	0.0579572192866325	0.972
protein16	protein176	17	0.913455564862273	0
protein170	protein176	17	0.90965353637982	0
protein174	protein176	17	0.438693383815635	0.345
protein175	protein176	17	0.999986737358868	0
protein100	protein178	17	-0.0859724069669214	1
protein101	protein178	17	0.570042022083744	0.084
protein102	protein178	17	0.573588770065115	0.081
protein103	protein178	17	0.427655863739493	0.367
protein106	protein178	17	0.370663667011233	0.493
protein10	protein178	17	0.66876099116816	0.012
protein110	protein178	17	0.673360043691497	0.012
protein111	protein178	17	0.310998161451042	0.621
protein112	protein178	17	0.136273931821782	0.919
protein113	protein178	17	0.284581039980762	0.667
protein115	protein178	17	0.651565525713988	0.018
protein116	protein178	17	0.696602133997639	0.005
protein11	protein178	17	0.485188973847046	0.233
protein121	protein178	17	0.0885582757057038	0.959
protein123	protein178	17	0.513338552664362	0.181
protein124	protein178	17	0.680825452268604	0.008
protein125	protein178	17	0.572205586820291	0.083
protein127	protein178	17	0.688742743732656	0.007
protein12	protein178	17	0.512181486505394	0.185
protein131	protein178	17	0.798768710907896	0
protein132	protein178	17	0.66635389275608	0.014
protein135	protein178	17	0.121583234469942	0.935
protein136	protein178	17	0.772851183289226	0.001
protein138	protein178	17	0.627004784727946	0.032
protein139	protein178	17	0.561477376783964	0.092
protein13	protein178	17	0.699540990384578	0.005
protein140	protein178	17	0.514648702645775	0.178
protein141	protein178	17	0.500941264107885	0.201
protein145	protein178	17	0.508254258692941	0.19
protein14	protein178	17	0.0866719060704253	0.959
protein157	protein178	17	0.559752909562813	0.096
protein159	protein178	17	0.123144547977804	0.933
protein15	protein178	17	0.306479630700304	0.628
protein160	protein178	17	0.133580503686903	0.922
protein162	protein178	17	0.624230516855602	0.034
protein163	protein178	17	0.580904834126166	0.069
protein164	protein178	17	0.621646021386321	0.035
protein165	protein178	17	0.616012358791908	0.039
protein166	protein178	17	0.631180980255382	0.028
protein167	protein178	17	0.206450563959936	0.828
protein16	protein178	17	0.570177927500328	0.084
protein170	protein178	17	0.573193987680062	0.082
protein174	protein178	17	0.686689200068471	0.007
protein175	protein178	17	0.649552602613187	0.019
protein176	protein178	17	0.648309614180151	0.02
protein100	protein179	17	-0.112188695543037	1
protein101	protein179	17	0.904989416336236	0
protein102	protein179	17	0.905763341661463	0
protein103	protein179	17	0.787231270199731	0
protein106	protein179	17	0.601048671932605	0.049
protein10	protein179	17	0.955080197794264	0
protein110	protein179	17	0.973188943260576	0
protein111	protein179	17	0.576373093974096	0.076
protein112	protein179	17	0.311696388579545	0.616
protein113	protein179	17	0.576870084784979	0.076
protein115	protein179	17	0.984909939176509	0
protein116	protein179	17	0.966947391903114	0
protein11	protein179	17	0.473257055073027	0.263
protein121	protein179	17	-0.051836227133514	0.996
protein123	protein179	17	0.529475921940608	0.146
protein124	protein179	17	0.737362628109674	0.004
protein125	protein179	17	0.875479474521509	0
protein127	protein179	17	0.983140762719504	0
protein12	protein179	17	0.521891796954348	0.166
protein131	protein179	17	0.220461163636577	0.804
protein132	protein179	17	0.990119799176168	0
protein135	protein179	17	0.165356798059365	0.896
protein136	protein179	17	0.171608536574568	0.891
protein138	protein179	17	0.905703675349596	0
protein139	protein179	17	0.689931256760795	0.007
protein13	protein179	17	0.925240431156013	0
protein140	protein179	17	0.638834864440745	0.025
protein141	protein179	17	0.630398321403423	0.03
protein145	protein179	17	0.495032742045717	0.214
protein14	protein179	17	0.228391435347265	0.789
protein157	protein179	17	0.00644758195220065	0.99
protein159	protein179	17	0.170855712030335	0.891
protein15	protein179	17	0.418220254610088	0.385
protein160	protein179	17	0.097886693048597	0.951
protein162	protein179	17	0.931651797439608	0
protein163	protein179	17	0.822937675342443	0
protein164	protein179	17	0.93875927306962	0
protein165	protein179	17	0.925336230853732	0
protein166	protein179	17	0.930792686815487	0
protein167	protein179	17	0.104928090018464	0.949
protein16	protein179	17	0.89660547745794	0
protein170	protein179	17	0.90544813830068	0
protein174	protein179	17	0.443907936098085	0.338
protein175	protein179	17	0.994665226105703	0
protein176	protein179	17	0.994377542094904	0
protein178	protein179	17	0.673937855791217	0.012
protein100	protein17	17	-0.122853880898516	1
protein101	protein17	17	0.840856509724135	0
protein102	protein17	17	0.828334844464914	0
protein103	protein17	17	0.746692258592431	0.002
protein106	protein17	17	0.448518771547365	0.327
protein10	protein17	17	0.830551690859566	0
protein110	protein17	17	0.854367449773379	0
protein111	protein17	17	0.52349956436796	0.161
protein112	protein17	17	0.285920942769969	0.666
protein113	protein17	17	0.429294591824907	0.365
protein115	protein17	17	0.868349923221775	0
protein116	protein17	17	0.788276436916058	0
protein11	protein17	17	0.519370289516394	0.17
protein121	protein17	17	0.0738060325654748	0.963
protein123	protein17	17	0.407528617987943	0.409
protein124	protein17	17	0.776202332435951	0
protein125	protein17	17	0.773719747130831	0
protein127	protein17	17	0.824219559541158	0
protein12	protein17	17	0.445650664359283	0.335
protein131	protein17	17	0.34021434485937	0.558
protein132	protein17	17	0.847033284547876	0
protein135	protein17	17	0.169773577573515	0.891
protein136	protein17	17	0.209693873328768	0.824
protein138	protein17	17	0.777735931166578	0
protein139	protein17	17	0.599410296740903	0.049
protein13	protein17	17	0.850709024443393	0
protein140	protein17	17	0.573992567384357	0.08
protein141	protein17	17	0.551358583632071	0.111
protein145	protein17	17	0.501933119025811	0.201
protein14	protein17	17	0.284433453977371	0.667
protein157	protein17	17	0.141790629647393	0.915
protein159	protein17	17	0.209839015283298	0.823
protein15	protein17	17	0.470451148419931	0.27
protein160	protein17	17	-0.0292660130455452	0.994
protein162	protein17	17	0.849664669755758	0
protein163	protein17	17	0.648518903406161	0.02
protein164	protein17	17	0.827873609273752	0
protein165	protein17	17	0.800530639124702	0
protein166	protein17	17	0.844386851481806	0
protein167	protein17	17	0.0487570099503813	0.978
protein16	protein17	17	0.842997658027002	0
protein170	protein17	17	0.734398754870808	0.004
protein174	protein17	17	0.611103185123402	0.043
protein175	protein17	17	0.838868174649482	0
protein176	protein17	17	0.839388977674782	0
protein178	protein17	17	0.624599185500051	0.034
protein179	protein17	17	0.838932438304342	0
protein105	protein181	17	0.766485961238565	0.001
protein106	protein181	17	0.936146314252639	0
protein108	protein181	17	0.970519297248801	0
protein109	protein181	17	0.0456839075284899	0.978
protein110	protein181	17	0.279318495589189	0.679
protein111	protein181	17	0.570153462839899	0.084
protein112	protein181	17	0.618322376759172	0.037
protein115	protein181	17	0.213180684623918	0.815
protein124	protein181	17	0.238473156257872	0.774
protein125	protein181	17	0.207081636990124	0.828
protein139	protein181	17	0.783694879628476	0
protein140	protein181	17	0.799001553862433	0
protein141	protein181	17	0.786415902382831	0
protein157	protein181	17	0.203402897739297	0.831
protein159	protein181	17	0.306583453184818	0.628
protein160	protein181	17	0.567024729574473	0.086
protein162	protein181	17	0.146659288620201	0.91
protein164	protein181	17	0.158820365051885	0.899
protein165	protein181	17	0.178095354385061	0.885
protein166	protein181	17	0.184596162624501	0.874
protein170	protein181	17	0.328303558101166	0.586
protein171	protein181	17	0.79888221184973	0
protein173	protein181	17	0.885160221312358	0
protein174	protein181	17	0.0193492057560533	0.989
protein100	protein182	17	-0.163432536656345	1
protein101	protein182	17	0.789329757539551	0
protein102	protein182	17	0.799160329491253	0
protein103	protein182	17	0.677160596808009	0.008
protein105	protein182	17	0.818025452898317	0
protein106	protein182	18	0.875163549299094	0
protein108	protein182	17	0.908247978310417	0
protein109	protein182	17	0.248461208373915	0.755
protein10	protein182	17	0.769568995343917	0.001
protein110	protein182	18	0.524762299065969	0.158
protein111	protein182	18	0.554274276768737	0.104
protein112	protein182	18	0.437243431786424	0.348
protein113	protein182	17	0.448758361079214	0.327
protein115	protein182	18	0.240852404364845	0.77
protein116	protein182	17	0.829185111224084	0
protein11	protein182	17	0.252833604397669	0.748
protein121	protein182	17	-0.0602772114080413	0.998
protein123	protein182	17	0.413202432792188	0.395
protein124	protein182	18	0.275442962071381	0.69
protein125	protein182	18	0.27342222857931	0.695
protein127	protein182	17	0.832856154649557	0
protein12	protein182	17	0.338723731043977	0.562
protein131	protein182	17	0.119493991938288	0.935
protein132	protein182	17	0.835538246223334	0
protein135	protein182	17	0.0941634264269867	0.952
protein136	protein182	17	0.122408656140773	0.935
protein138	protein182	17	0.734965332767017	0.004
protein139	protein182	18	0.83673908475793	0
protein13	protein182	17	0.786407328658937	0
protein140	protein182	18	0.771830817883342	0.001
protein141	protein182	18	0.799449769876595	0
protein145	protein182	17	0.377274460147667	0.479
protein14	protein182	17	0.131677091909487	0.923
protein157	protein182	18	0.0296667422318214	0.985
protein159	protein182	18	0.145402452429441	0.911
protein15	protein182	17	0.312384763674453	0.615
protein160	protein182	18	0.279100305376167	0.68
protein162	protein182	18	0.798051091226935	0
protein163	protein182	17	0.684822854635931	0.007
protein164	protein182	18	0.799039770519838	0
protein165	protein182	18	0.784784600141214	0
protein166	protein182	18	0.789258742910289	0
